"","Area","Element","Item","Value"
"79","ASIA (EX. NEAR EAST)","Export Quantity","Paper",1
"80","OCEAN","Import Quantity","Roundwood",15
"81","OCEAN","Import Quantity","Sawnwood",639
"82","OCEAN","Import Quantity","Sawnwood",3
"83","OCEAN","Import Quantity","Veneer sheets",14
"84","OCEAN","Import Quantity","Plywood",52
"86","OCEAN","Import Quantity","Other fibreboard",10
"87","OCEAN","Import Quantity","Newsprint",122
"88","OCEAN","Import Quantity","Paper",14
"90","OCEAN","Import Quantity","Paper",8
"93","SUB-SAHARAN AFRICA","Production","Wood fuel",4583131
"94","SUB-SAHARAN AFRICA","Import Quantity","Wood fuel",2
"95","SUB-SAHARAN AFRICA","Export Quantity","Wood fuel",158
"96","SUB-SAHARAN AFRICA","Import Quantity","Roundwood",3209
"98","SUB-SAHARAN AFRICA","Import Quantity","Roundwood",71
"99","SUB-SAHARAN AFRICA","Export Quantity","Roundwood",59000
"100","SUB-SAHARAN AFRICA","Import Quantity","Roundwood",17
"102","SUB-SAHARAN AFRICA","Production","Sawlogs and veneer logs",170000
"104","SUB-SAHARAN AFRICA","Production","Roundwood",1050000
"105","SUB-SAHARAN AFRICA","Production","Wood fuel",358427
"106","SUB-SAHARAN AFRICA","Import Quantity","Wood fuel",69
"107","SUB-SAHARAN AFRICA","Export Quantity","Wood fuel",19
"108","SUB-SAHARAN AFRICA","Import Quantity","Wood chips and particles",3
"109","SUB-SAHARAN AFRICA","Import Quantity","Wood residues",36
"110","SUB-SAHARAN AFRICA","Import Quantity","Sawnwood",227
"111","SUB-SAHARAN AFRICA","Export Quantity","Sawnwood",120
"112","SUB-SAHARAN AFRICA","Production","Sawnwood",15000
"113","SUB-SAHARAN AFRICA","Import Quantity","Sawnwood",700
"114","SUB-SAHARAN AFRICA","Export Quantity","Sawnwood",8665
"115","SUB-SAHARAN AFRICA","Production","Veneer sheets",1000
"116","SUB-SAHARAN AFRICA","Import Quantity","Veneer sheets",183
"117","SUB-SAHARAN AFRICA","Export Quantity","Veneer sheets",571
"118","SUB-SAHARAN AFRICA","Production","Plywood",10000
"119","SUB-SAHARAN AFRICA","Import Quantity","Plywood",25423
"121","SUB-SAHARAN AFRICA","Import Quantity","Particle board",171
"122","SUB-SAHARAN AFRICA","Export Quantity","Particle board",24
"123","SUB-SAHARAN AFRICA","Import Quantity","OSB",70
"124","SUB-SAHARAN AFRICA","Import Quantity","Hardboard",130
"125","SUB-SAHARAN AFRICA","Export Quantity","Hardboard",24
"126","SUB-SAHARAN AFRICA","Import Quantity","MDF/HDF",2182
"127","SUB-SAHARAN AFRICA","Export Quantity","MDF/HDF",2
"128","SUB-SAHARAN AFRICA","Import Quantity","Other fibreboard",423
"129","SUB-SAHARAN AFRICA","Export Quantity","Other fibreboard",2
"130","SUB-SAHARAN AFRICA","Import Quantity","Wood pulp",4
"131","SUB-SAHARAN AFRICA","Import Quantity","Wood pulp",46
"133","SUB-SAHARAN AFRICA","Import Quantity","Wood pulp",3508
"134","SUB-SAHARAN AFRICA","Export Quantity","Wood pulp",961
"136","SUB-SAHARAN AFRICA","Import Quantity","Wood pulp",2
"139","SUB-SAHARAN AFRICA","Import Quantity","Wood pulp",3303
"140","SUB-SAHARAN AFRICA","Export Quantity","Wood pulp",706
"141","SUB-SAHARAN AFRICA","Import Quantity","Wood pulp",203
"142","SUB-SAHARAN AFRICA","Export Quantity","Wood pulp",255
"143","SUB-SAHARAN AFRICA","Import Quantity","Wood pulp",1
"145","SUB-SAHARAN AFRICA","Import Quantity","Pulp from fibres other than wood",17
"146","SUB-SAHARAN AFRICA","Import Quantity","Paper",6
"147","SUB-SAHARAN AFRICA","Export Quantity","Paper",132
"148","SUB-SAHARAN AFRICA","Import Quantity","Newsprint",1289
"151","SUB-SAHARAN AFRICA","Import Quantity","Paper",15989
"152","SUB-SAHARAN AFRICA","Export Quantity","Paper",744
"153","SUB-SAHARAN AFRICA","Import Quantity","Paper",796
"154","SUB-SAHARAN AFRICA","Export Quantity","Paper",720
"155","SUB-SAHARAN AFRICA","Import Quantity","Paper",12541
"156","SUB-SAHARAN AFRICA","Export Quantity","Paper",3
"157","SUB-SAHARAN AFRICA","Import Quantity","Paper",2652
"158","SUB-SAHARAN AFRICA","Export Quantity","Paper",21
"160","SUB-SAHARAN AFRICA","Import Quantity","Paper",18878
"161","SUB-SAHARAN AFRICA","Export Quantity","Paper",5037
"162","SUB-SAHARAN AFRICA","Import Quantity","Paper",7031
"163","SUB-SAHARAN AFRICA","Export Quantity","Paper",6
"164","SUB-SAHARAN AFRICA","Import Quantity","Paper",8141
"165","SUB-SAHARAN AFRICA","Export Quantity","Paper",5021
"166","SUB-SAHARAN AFRICA","Import Quantity","Case materials",4042
"167","SUB-SAHARAN AFRICA","Export Quantity","Case materials",99
"168","SUB-SAHARAN AFRICA","Import Quantity","Cartonboard",1248
"169","SUB-SAHARAN AFRICA","Export Quantity","Cartonboard",4800
"170","SUB-SAHARAN AFRICA","Import Quantity","Paper",2818
"171","SUB-SAHARAN AFRICA","Export Quantity","Paper",122
"172","SUB-SAHARAN AFRICA","Import Quantity","Paper",33
"173","SUB-SAHARAN AFRICA","Import Quantity","Paper",3706
"174","SUB-SAHARAN AFRICA","Export Quantity","Paper",10
"176","LATIN AMER. & CARIB","Import Quantity","Roundwood",182
"177","LATIN AMER. & CARIB","Import Quantity","Roundwood",3
"178","LATIN AMER. & CARIB","Import Quantity","Wood fuel",11
"179","LATIN AMER. & CARIB","Import Quantity","Wood chips and particles",17
"180","LATIN AMER. & CARIB","Import Quantity","Wood residues",8
"181","LATIN AMER. & CARIB","Import Quantity","Sawnwood",5646
"182","LATIN AMER. & CARIB","Export Quantity","Sawnwood",45
"183","LATIN AMER. & CARIB","Import Quantity","Sawnwood",308
"185","LATIN AMER. & CARIB","Import Quantity","Veneer sheets",2
"187","LATIN AMER. & CARIB","Import Quantity","Plywood",5520
"188","LATIN AMER. & CARIB","Export Quantity","Plywood",83
"189","LATIN AMER. & CARIB","Import Quantity","Particle board",6
"190","LATIN AMER. & CARIB","Import Quantity","OSB",7
"191","LATIN AMER. & CARIB","Import Quantity","MDF/HDF",8
"192","LATIN AMER. & CARIB","Import Quantity","Other fibreboard",5
"193","LATIN AMER. & CARIB","Export Quantity","Paper",318
"196","LATIN AMER. & CARIB","Import Quantity","Paper",29
"197","LATIN AMER. & CARIB","Export Quantity","Paper",149
"198","LATIN AMER. & CARIB","Import Quantity","Paper",4
"199","LATIN AMER. & CARIB","Import Quantity","Paper",14
"200","LATIN AMER. & CARIB","Import Quantity","Paper",11
"201","LATIN AMER. & CARIB","Import Quantity","Paper",81
"202","LATIN AMER. & CARIB","Export Quantity","Paper",44
"203","LATIN AMER. & CARIB","Import Quantity","Paper",16
"204","LATIN AMER. & CARIB","Import Quantity","Paper",59
"205","LATIN AMER. & CARIB","Export Quantity","Paper",44
"206","LATIN AMER. & CARIB","Import Quantity","Case materials",14
"207","LATIN AMER. & CARIB","Import Quantity","Cartonboard",10
"208","LATIN AMER. & CARIB","Import Quantity","Paper",32
"209","LATIN AMER. & CARIB","Export Quantity","Paper",44
"210","LATIN AMER. & CARIB","Import Quantity","Paper",3
"211","LATIN AMER. & CARIB","Import Quantity","Paper",6
"213","C.W. OF IND. STATES","Production","Wood fuel",1546000
"214","C.W. OF IND. STATES","Import Quantity","Wood fuel",3
"216","C.W. OF IND. STATES","Import Quantity","Roundwood",316
"220","C.W. OF IND. STATES","Import Quantity","Roundwood",2
"223","C.W. OF IND. STATES","Production","Sawlogs and veneer logs",1100
"227","C.W. OF IND. STATES","Production","Roundwood",1100
"229","C.W. OF IND. STATES","Import Quantity","Wood fuel",56
"230","C.W. OF IND. STATES","Export Quantity","Wood fuel",12
"232","C.W. OF IND. STATES","Import Quantity","Wood chips and particles",125
"235","C.W. OF IND. STATES","Import Quantity","Wood residues",2
"241","C.W. OF IND. STATES","Import Quantity","Other agglomerates",1
"244","C.W. OF IND. STATES","Import Quantity","Sawnwood",18928
"246","C.W. OF IND. STATES","Production","Sawnwood",4000
"247","C.W. OF IND. STATES","Import Quantity","Sawnwood",1232
"248","C.W. OF IND. STATES","Export Quantity","Sawnwood",5053
"250","C.W. OF IND. STATES","Import Quantity","Veneer sheets",54
"253","C.W. OF IND. STATES","Import Quantity","Plywood",3389
"254","C.W. OF IND. STATES","Export Quantity","Plywood",30
"256","C.W. OF IND. STATES","Import Quantity","Particle board",43977
"257","C.W. OF IND. STATES","Export Quantity","Particle board",2
"259","C.W. OF IND. STATES","Import Quantity","OSB",277
"262","C.W. OF IND. STATES","Import Quantity","Hardboard",5666
"265","C.W. OF IND. STATES","Import Quantity","MDF/HDF",19316
"266","C.W. OF IND. STATES","Export Quantity","MDF/HDF",124
"268","C.W. OF IND. STATES","Import Quantity","Other fibreboard",1469
"271","C.W. OF IND. STATES","Import Quantity","Wood pulp",1
"278","C.W. OF IND. STATES","Export Quantity","Wood pulp",25
"284","C.W. OF IND. STATES","Export Quantity","Wood pulp",25
"295","C.W. OF IND. STATES","Import Quantity","Pulp from fibres other than wood",8
"298","C.W. OF IND. STATES","Import Quantity","Paper",18
"301","C.W. OF IND. STATES","Import Quantity","Newsprint",521
"304","C.W. OF IND. STATES","Import Quantity","Paper",7849
"307","C.W. OF IND. STATES","Import Quantity","Paper",274
"310","C.W. OF IND. STATES","Import Quantity","Paper",6015
"313","C.W. OF IND. STATES","Import Quantity","Paper",1560
"315","C.W. OF IND. STATES","Production","Paper",9000
"316","C.W. OF IND. STATES","Import Quantity","Paper",21066
"317","C.W. OF IND. STATES","Export Quantity","Paper",23
"318","C.W. OF IND. STATES","Production","Paper",1700
"319","C.W. OF IND. STATES","Import Quantity","Paper",1447
"321","C.W. OF IND. STATES","Production","Paper",4700
"322","C.W. OF IND. STATES","Import Quantity","Paper",17223
"323","C.W. OF IND. STATES","Export Quantity","Paper",23
"325","C.W. OF IND. STATES","Import Quantity","Case materials",4324
"326","C.W. OF IND. STATES","Export Quantity","Case materials",1
"327","C.W. OF IND. STATES","Production","Cartonboard",4700
"328","C.W. OF IND. STATES","Import Quantity","Cartonboard",12117
"329","C.W. OF IND. STATES","Export Quantity","Cartonboard",20
"331","C.W. OF IND. STATES","Import Quantity","Paper",631
"332","C.W. OF IND. STATES","Export Quantity","Paper",2
"334","C.W. OF IND. STATES","Import Quantity","Paper",151
"336","C.W. OF IND. STATES","Production","Paper",2600
"337","C.W. OF IND. STATES","Import Quantity","Paper",2396
"340","LATIN AMER. & CARIB","Production","Wood fuel",2153
"341","LATIN AMER. & CARIB","Import Quantity","Wood fuel",1
"342","LATIN AMER. & CARIB","Import Quantity","Roundwood",12
"343","LATIN AMER. & CARIB","Export Quantity","Roundwood",1
"344","LATIN AMER. & CARIB","Import Quantity","Roundwood",190
"347","LATIN AMER. & CARIB","Production","Wood fuel",219
"348","LATIN AMER. & CARIB","Import Quantity","Wood fuel",265
"349","LATIN AMER. & CARIB","Import Quantity","Wood chips and particles",9
"350","LATIN AMER. & CARIB","Import Quantity","Wood residues",146
"351","LATIN AMER. & CARIB","Import Quantity","Wood fuel",17
"352","LATIN AMER. & CARIB","Import Quantity","Sawnwood",5
"353","LATIN AMER. & CARIB","Import Quantity","Sawnwood",308
"354","LATIN AMER. & CARIB","Export Quantity","Sawnwood",27
"355","LATIN AMER. & CARIB","Import Quantity","Veneer sheets",28
"356","LATIN AMER. & CARIB","Import Quantity","Plywood",4727
"357","LATIN AMER. & CARIB","Export Quantity","Plywood",152
"358","LATIN AMER. & CARIB","Import Quantity","Particle board",13
"359","LATIN AMER. & CARIB","Import Quantity","Hardboard",33
"360","LATIN AMER. & CARIB","Import Quantity","MDF/HDF",232
"362","LATIN AMER. & CARIB","Import Quantity","Wood pulp",44
"363","LATIN AMER. & CARIB","Import Quantity","Wood pulp",42
"364","LATIN AMER. & CARIB","Import Quantity","Wood pulp",2
"366","LATIN AMER. & CARIB","Import Quantity","Newsprint",1038
"367","LATIN AMER. & CARIB","Export Quantity","Newsprint",240
"368","LATIN AMER. & CARIB","Import Quantity","Paper",1077
"369","LATIN AMER. & CARIB","Export Quantity","Paper",3.3
"370","LATIN AMER. & CARIB","Import Quantity","Paper",701
"371","LATIN AMER. & CARIB","Export Quantity","Paper",1
"372","LATIN AMER. & CARIB","Import Quantity","Paper",310
"373","LATIN AMER. & CARIB","Export Quantity","Paper",2
"374","LATIN AMER. & CARIB","Import Quantity","Paper",66
"376","LATIN AMER. & CARIB","Import Quantity","Paper",188
"377","LATIN AMER. & CARIB","Export Quantity","Paper",201
"378","LATIN AMER. & CARIB","Import Quantity","Paper",51
"379","LATIN AMER. & CARIB","Export Quantity","Paper",5
"380","LATIN AMER. & CARIB","Import Quantity","Paper",134
"381","LATIN AMER. & CARIB","Export Quantity","Paper",196
"382","LATIN AMER. & CARIB","Import Quantity","Case materials",4
"383","LATIN AMER. & CARIB","Import Quantity","Cartonboard",15
"384","LATIN AMER. & CARIB","Import Quantity","Paper",115
"385","LATIN AMER. & CARIB","Export Quantity","Paper",196
"386","LATIN AMER. & CARIB","Import Quantity","Paper",3
"387","WESTERN EUROPE","Production","Wood fuel",2709688
"388","WESTERN EUROPE","Production","Wood fuel",1880264
"389","WESTERN EUROPE","Import Quantity","Wood fuel",529780
"390","WESTERN EUROPE","Export Quantity","Wood fuel",11671
"391","WESTERN EUROPE","Import Quantity","Roundwood",7889945
"392","WESTERN EUROPE","Export Quantity","Roundwood",725709
"395","WESTERN EUROPE","Import Quantity","Roundwood",1237703
"396","WESTERN EUROPE","Export Quantity","Roundwood",149846
"397","WESTERN EUROPE","Production","Sawlogs and veneer logs",8685643
"398","WESTERN EUROPE","Production","Sawlogs and veneer logs",320625
"399","WESTERN EUROPE","Production","Pulpwood",2458870
"400","WESTERN EUROPE","Production","Pulpwood",707943
"403","WESTERN EUROPE","Production","Wood fuel",1325
"404","WESTERN EUROPE","Import Quantity","Wood fuel",13252
"405","WESTERN EUROPE","Export Quantity","Wood fuel",2014
"406","WESTERN EUROPE","Production","Wood chips and particles",3500000
"407","WESTERN EUROPE","Import Quantity","Wood chips and particles",1120604
"408","WESTERN EUROPE","Export Quantity","Wood chips and particles",108877
"409","WESTERN EUROPE","Production","Wood residues",2652000
"410","WESTERN EUROPE","Import Quantity","Wood residues",694448
"411","WESTERN EUROPE","Export Quantity","Wood residues",481913
"412","WESTERN EUROPE","Production","Wood fuel",1071000
"413","WESTERN EUROPE","Import Quantity","Wood fuel",378544
"414","WESTERN EUROPE","Export Quantity","Wood fuel",606318
"415","WESTERN EUROPE","Production","Other agglomerates",60000
"416","WESTERN EUROPE","Import Quantity","Other agglomerates",91848
"417","WESTERN EUROPE","Export Quantity","Other agglomerates",35554
"418","WESTERN EUROPE","Production","Sawnwood",9062000
"419","WESTERN EUROPE","Import Quantity","Sawnwood",1806950
"420","WESTERN EUROPE","Export Quantity","Sawnwood",5300668
"421","WESTERN EUROPE","Production","Sawnwood",153000
"422","WESTERN EUROPE","Import Quantity","Sawnwood",190577
"423","WESTERN EUROPE","Export Quantity","Sawnwood",141193
"424","WESTERN EUROPE","Production","Veneer sheets",7000
"425","WESTERN EUROPE","Import Quantity","Veneer sheets",53603
"426","WESTERN EUROPE","Export Quantity","Veneer sheets",16017
"427","WESTERN EUROPE","Production","Plywood",291000
"428","WESTERN EUROPE","Import Quantity","Plywood",179269
"429","WESTERN EUROPE","Export Quantity","Plywood",338357
"430","WESTERN EUROPE","Production","Particle board",2300000
"431","WESTERN EUROPE","Import Quantity","Particle board",250591
"432","WESTERN EUROPE","Export Quantity","Particle board",1895916
"434","WESTERN EUROPE","Import Quantity","OSB",161578
"435","WESTERN EUROPE","Export Quantity","OSB",7866
"436","WESTERN EUROPE","Production","Hardboard",88000
"437","WESTERN EUROPE","Import Quantity","Hardboard",25274
"438","WESTERN EUROPE","Export Quantity","Hardboard",59544
"439","WESTERN EUROPE","Production","MDF/HDF",556000
"440","WESTERN EUROPE","Import Quantity","MDF/HDF",173190
"441","WESTERN EUROPE","Export Quantity","MDF/HDF",482504
"443","WESTERN EUROPE","Import Quantity","Other fibreboard",88435
"444","WESTERN EUROPE","Export Quantity","Other fibreboard",4645
"445","WESTERN EUROPE","Production","Wood pulp",374896
"446","WESTERN EUROPE","Import Quantity","Wood pulp",16751
"447","WESTERN EUROPE","Export Quantity","Wood pulp",29
"449","WESTERN EUROPE","Import Quantity","Wood pulp",31871
"451","WESTERN EUROPE","Production","Wood pulp",1279443
"452","WESTERN EUROPE","Import Quantity","Wood pulp",679859
"453","WESTERN EUROPE","Export Quantity","Wood pulp",273604
"454","WESTERN EUROPE","Production","Wood pulp",585752
"455","WESTERN EUROPE","Import Quantity","Wood pulp",1434
"456","WESTERN EUROPE","Export Quantity","Wood pulp",58677
"457","WESTERN EUROPE","Production","Wood pulp",409320
"458","WESTERN EUROPE","Import Quantity","Wood pulp",661113
"459","WESTERN EUROPE","Export Quantity","Wood pulp",214867
"463","WESTERN EUROPE","Production","Wood pulp",284371
"464","WESTERN EUROPE","Import Quantity","Wood pulp",17312
"465","WESTERN EUROPE","Export Quantity","Wood pulp",60
"466","WESTERN EUROPE","Production","Wood pulp",461967
"467","WESTERN EUROPE","Import Quantity","Wood pulp",96475
"468","WESTERN EUROPE","Export Quantity","Wood pulp",160751
"470","WESTERN EUROPE","Import Quantity","Pulp from fibres other than wood",10309
"471","WESTERN EUROPE","Export Quantity","Pulp from fibres other than wood",441
"472","WESTERN EUROPE","Production","Paper",1466267
"473","WESTERN EUROPE","Import Quantity","Paper",1259017
"474","WESTERN EUROPE","Export Quantity","Paper",401765
"475","WESTERN EUROPE","Production","Newsprint",401851
"476","WESTERN EUROPE","Import Quantity","Newsprint",80071
"477","WESTERN EUROPE","Export Quantity","Newsprint",275751
"478","WESTERN EUROPE","Production","Paper",2337313
"479","WESTERN EUROPE","Import Quantity","Paper",472888
"480","WESTERN EUROPE","Export Quantity","Paper",2499514
"481","WESTERN EUROPE","Production","Paper",702816
"482","WESTERN EUROPE","Import Quantity","Paper",54203
"483","WESTERN EUROPE","Export Quantity","Paper",625864
"484","WESTERN EUROPE","Production","Paper",427621
"485","WESTERN EUROPE","Import Quantity","Paper",131457
"486","WESTERN EUROPE","Export Quantity","Paper",405083
"487","WESTERN EUROPE","Production","Paper",1206876
"488","WESTERN EUROPE","Import Quantity","Paper",287228
"489","WESTERN EUROPE","Export Quantity","Paper",1468567
"490","WESTERN EUROPE","Production","Paper",2255850
"491","WESTERN EUROPE","Import Quantity","Paper",777935
"492","WESTERN EUROPE","Export Quantity","Paper",1477108
"493","WESTERN EUROPE","Production","Paper",140000
"494","WESTERN EUROPE","Import Quantity","Paper",20028
"495","WESTERN EUROPE","Export Quantity","Paper",12351
"496","WESTERN EUROPE","Production","Paper",1941578
"497","WESTERN EUROPE","Import Quantity","Paper",741741
"498","WESTERN EUROPE","Export Quantity","Paper",1430134
"499","WESTERN EUROPE","Production","Case materials",1021991
"500","WESTERN EUROPE","Import Quantity","Case materials",387816
"501","WESTERN EUROPE","Export Quantity","Case materials",730033
"502","WESTERN EUROPE","Production","Cartonboard",602503
"503","WESTERN EUROPE","Import Quantity","Cartonboard",178896
"504","WESTERN EUROPE","Export Quantity","Cartonboard",319430
"505","WESTERN EUROPE","Production","Paper",307822
"506","WESTERN EUROPE","Import Quantity","Paper",138462
"507","WESTERN EUROPE","Export Quantity","Paper",369178
"508","WESTERN EUROPE","Production","Paper",9262
"509","WESTERN EUROPE","Import Quantity","Paper",36567
"510","WESTERN EUROPE","Export Quantity","Paper",11493
"511","WESTERN EUROPE","Production","Paper",174272
"512","WESTERN EUROPE","Import Quantity","Paper",16166
"513","WESTERN EUROPE","Export Quantity","Paper",34623
"515","C.W. OF IND. STATES","Production","Wood fuel",422000
"518","C.W. OF IND. STATES","Import Quantity","Roundwood",501
"523","C.W. OF IND. STATES","Export Quantity","Roundwood",1000
"525","C.W. OF IND. STATES","Production","Sawlogs and veneer logs",1100
"527","C.W. OF IND. STATES","Production","Pulpwood",1100
"529","C.W. OF IND. STATES","Production","Roundwood",1100
"530","C.W. OF IND. STATES","Production","Wood fuel",5000
"531","C.W. OF IND. STATES","Import Quantity","Wood fuel",403
"532","C.W. OF IND. STATES","Export Quantity","Wood fuel",1000
"533","C.W. OF IND. STATES","Production","Wood chips and particles",100
"534","C.W. OF IND. STATES","Import Quantity","Wood chips and particles",1523
"536","C.W. OF IND. STATES","Production","Wood residues",100
"539","C.W. OF IND. STATES","Production","Wood fuel",100
"540","C.W. OF IND. STATES","Import Quantity","Wood fuel",57
"542","C.W. OF IND. STATES","Production","Other agglomerates",100
"543","C.W. OF IND. STATES","Import Quantity","Other agglomerates",97
"545","C.W. OF IND. STATES","Production","Sawnwood",300
"546","C.W. OF IND. STATES","Import Quantity","Sawnwood",738000
"547","C.W. OF IND. STATES","Export Quantity","Sawnwood",201
"549","C.W. OF IND. STATES","Import Quantity","Sawnwood",14000
"550","C.W. OF IND. STATES","Export Quantity","Sawnwood",1000
"552","C.W. OF IND. STATES","Import Quantity","Veneer sheets",258
"555","C.W. OF IND. STATES","Import Quantity","Plywood",112457
"556","C.W. OF IND. STATES","Export Quantity","Plywood",81
"558","C.W. OF IND. STATES","Import Quantity","Particle board",138000
"561","C.W. OF IND. STATES","Import Quantity","OSB",1000
"564","C.W. OF IND. STATES","Import Quantity","Hardboard",12000
"567","C.W. OF IND. STATES","Import Quantity","MDF/HDF",87000
"568","C.W. OF IND. STATES","Export Quantity","MDF/HDF",25
"570","C.W. OF IND. STATES","Import Quantity","Other fibreboard",5000
"579","C.W. OF IND. STATES","Import Quantity","Wood pulp",372
"582","C.W. OF IND. STATES","Import Quantity","Wood pulp",206
"585","C.W. OF IND. STATES","Import Quantity","Wood pulp",137
"591","C.W. OF IND. STATES","Import Quantity","Wood pulp",29
"597","C.W. OF IND. STATES","Import Quantity","Pulp from fibres other than wood",20
"603","C.W. OF IND. STATES","Import Quantity","Newsprint",2000
"606","C.W. OF IND. STATES","Import Quantity","Paper",17000
"609","C.W. OF IND. STATES","Import Quantity","Paper",1000
"612","C.W. OF IND. STATES","Import Quantity","Paper",14000
"615","C.W. OF IND. STATES","Import Quantity","Paper",2000
"617","C.W. OF IND. STATES","Production","Paper",19310
"618","C.W. OF IND. STATES","Import Quantity","Paper",34900
"619","C.W. OF IND. STATES","Export Quantity","Paper",9000
"620","C.W. OF IND. STATES","Production","Paper",6500
"621","C.W. OF IND. STATES","Import Quantity","Paper",8000
